product_id,quantity,wholesale_cost,sale_price,supplier_id
3SPC9L1ND0YE,4777,352.59,657.93,CGTJWKRL
86H2HKJ06GH0,1711,118.45,173.53,IQDFAHFW
QRIC1R56LNRF,3928,387.48,614.54,NOLWHEOG
TMBYE6H89YWH,3214,365.35,561.18,DPQPFFUJ
QTXM4A14BXT2,480,43.97,68.33,TDFIGLMG
P5U3B7RI5775,1006,40.27,74.14,OGUIXVOU
5J5RXKJBMQKW,3279,390.12,436.93,SWAGDTTZ
DHAK72YSA8WS,1565,129.99,188.62,NOLWHEOG
7ZQ7SNNUQVUP,2395,124.99,164.11,EFSXKIVQ
N1OE1O5O6SEN,2269,120.07,174.46,VVTOXNZH
CDU53EPA0ECV,361,13.7,20.22,UHKLZZRH
RQD2JAUYZLID,3967,433.33,568.96,QMRKWBLO
EWYL3543NQQE,1148,116.84,178.3,BQYGGCMA
F2X10AG9IRAX,5370,331.31,423.41,YJLIZBRT
3GT3D81IXW2C,2886,153.49,248.65,HMXHTYNN
GFPD2GAEDHNW,5805,390.12,704.17,YJLIZBRT
5SA5ZE12F2TN,5350,478.4,760.18,BQYGGCMA
X38EDSTKWS1F,2654,138.51,190.87,QRXHXBWR
UAG3F1Y9GMBQ,224,6.96,11.53,SUQVUMHJ
7THZ76IUMH3X,4268,387.48,583.93,ENJXLXOS
5UYWCDOX8Z9F,2502,101.21,127.02,JICAIEGK
U7KRIP80CJRO,4022,434.71,731.62,FIOEEZUX
2KAUZFZ4K010,723,40.79,49.52,MPIEMZUH
6H9Y6TQYWY7B,1847,116.04,149.81,EZHEWEYV
J7AGZWNIEIIH,1430,102.74,194.69,GIKJGYMU
RYJJ23LAO94S,2478,131.68,246.5,PCURFMJI
N2SJUOALD1WI,2087,127.48,172.61,QRXHXBWR
3QHSXKJBGBRE,4247,438.86,707.44,GIKJGYMU
W68WBLBJNYJJ,3397,426.46,760.38,JICAIEGK
SQFEJU5VHVAT,4935,377.0,457.3,JBHXSXVL
MSLCMVIUSZA6,1516,126.65,209.35,BNHBRPJN
MA7UZF0WVBIO,2062,130.84,193.12,NOLWHEOG
0C2B3SH4YG0X,416,39.24,51.52,IQDFAHFW
VCZCZJATNW1B,1411,136.79,221.33,SUQVUMHJ
M52DR31C16NY,717,36.71,42.4,QPKTYNBA
5QMPM88F2Q2P,1841,149.02,233.51,HMXHTYNN
EVS5OLOWFLI1,4998,361.5,513.69,KRISHNOD
VGV4OSBDOTWS,1932,131.68,152.22,IQDFAHFW
E11WQ9PZ2K38,3377,437.48,746.34,ENJXLXOS
7DRW6RGQX6DO,3347,416.91,511.55,YPVJCYBG
